TYPE	NAME	DESCRIPTION	UNIT	MODULE	VALUE	IMPACT	CHANGE	MAX	MIN	USE
Discharge	FLOWOUT_INDEX	The index of flow in cell in the compressed array	none	ALL	-9999	0	AC	-9999	-9999	N
Discharge	k_bank	channel bank hydraulic conductivity	mm/hr	ALL	20	0	AC	150	0	Y
Discharge	k_chb	channel bottom hydraulic conductivity	mm/hr	ALL	0.5	0	AC	150	0	Y
Discharge	Kg	Baseflow recession coefficient	none	GW_RSVR	0.005	-0.0045	AC	0.1	0.001	Y
Discharge	Ki	Interflow scaling factor	none	SSR_DA	3	0	AC	10	0	Y
Discharge	MANNING	Manning's n	none	ALL	-9999	0	AC	10	0.001	Y
Discharge	MSK_co1	Weighting factor of bankful flow	none	ChannelRouting	0.7	0	AC	1	0	Y
Discharge	MSK_X	Muskingum weighting factor	none	ChannelRouting	0.2	0	AC	0.5	0	Y
Discharge	n_iter	maximum number of iteration	none	ChannelRouting	10	0	AC	30	3	Y
Discharge	n_iter_rs	Maximum number of reservoir routing iteration	none	ALL	10	0	AC	30	3	Y
Discharge	Ol_iuh	Overland flow IUH	none	ALL	-9999	0	NC	-9999	-9999	Y
Discharge	q_iter	Thrashold of storage change rate	m3/s	ChannelRouting	0.01	0	AC	0.1	0.001	Y
Discharge	Reach	Reach properties	none	ALL	-9999	0	NC	-9999	-9999	Y
Discharge	ReachParameter	Reach parameters such as mannning's n, upstream subbasins and so on.	none	ALL	-9999	0	AC	-9999	-9999	N
Discharge	ROUTING_LAYERS	Routing layers according to the flow direction	none	ALL	-9999	0	AC	-9999	-9999	N
Discharge	s_iter	Threshold of reservoir storage change rate	m3	ALL	50	0	AC	1000	10	Y
Discharge	STREAM_LINK	Stream link	none	ALL	-9999	0	AC	-9999	-9999	N
Discharge	STREAM_ORDER	Stream Order	none	ALL	-9999	0	AC	-9999	-9999	N
Discharge	THETA	Parameter theta for the implicit finite deffirent equation	none	ALL	0.75	0	AC	1	0	Y
Discharge	VelScaleFactor	Scale factor used to adjust V0 in CH_MUSK	none	CH_MUSK	1	0	AC	1.5	0.5	Y
Groundwater	GW_recharge	Groundwater recharge	m3/s	MUSK_CH	0	0	AC	100	0	Y
InstreamWQ	algae	Algal biomass concentration in reach on the first day	mg alg/L	ChannelRouting	0	0	AC	200	0	Y
InstreamWQ	cbod	Carbonaceous bideg Chemical oxygen demand in reach on the first day	mg O2/L	ChannelRouting	0	1	AC	1	0	Y
InstreamWQ	chlora	ChlorophyII-a concentration in reach on the first day	mg chla/L	ChannelRouting	0	0	AC	200	0	Y
InstreamWQ	diso2	Dissolved oxygen concentration in reach on the first day	mg O2/L	ChannelRouting	0	1	RC	1	0	Y
InstreamWQ	disp	Dissolved P concentration in reach on the first day	mg P/L	ChannelRouting	0	0	AC	25	0	Y
InstreamWQ	k_l	Half saturation coefficient for light	kJ/(m2*min)	ChannelRouting	0.75	1	RC	1.135	0.223	Y
InstreamWQ	k_n	Michaelis-mention half-saturation constant for nitrogen	mg N/L	ChannelRouting	0.02	1	RC	0.03	0.01	Y
InstreamWQ	k_p	Michaelis-mention half-saturation constant for P	mg P/L	ChannelRouting	0.025	1	RC	0.05	0.001	Y
InstreamWQ	nh3	Ammonia concentration in reach on the first day	mg N/L	ChannelRouting	0	0	AC	50	0	Y
InstreamWQ	no2	NO2-N concentration in reach on the first day	mg N/L	ChannelRouting	0	0	AC	10	0	Y
InstreamWQ	no3	NO3-N concentration in reach on the first day	mg N/L	ChannelRouting	0	0	AC	30	0	Y
InstreamWQ	orgn	Organic N concentration in reach on the first day	mg N/L	ChannelRouting	0	1	RC	100	0	Y
InstreamWQ	orgp	Organic P concentration in reach on the first day	mg P/L	ChannelRouting	0	1	RC	5	0	Y
Interception	BLAI	Leaf area index	none	PI_STORM	-9999	1	RC	12	0	Y
Interception	CoverFrac	vegetation cover fraction	none	All	-9999	1	RC	1	0	Y
Interception	Init_IS	Initial interception storage	mm	ALL	0	0	AC	1	0	Y
Nutrient	ai0	Ratio of chlorophyll-a to algal biomass	ug/mg	NutCHRout	50	0	AC	100	10	Y
Nutrient	ai1	Fraction of algal biomass that is nigrogen	mg/mg	NutCHRout	0.08498	1	RC	0.09	0.07	Y
Nutrient	ai2	Fraction of algal biomass that is phosphorus	mg/mg	NutCHRout	0.015	1	RC	0.02	0.01	Y
Nutrient	ai3	Rate of oxygen production per unit algal photosynthesis	mg/mg	NutCHRout	1.6	0	AC	1.8	1.4	Y
Nutrient	ai4	Rate of oxygen uptake per unit algal respiration	mg/mg	NutCHRout	2	0	AC	2.3	1.6	Y
Nutrient	ai5	Rate of oxygen uptake per unit NH3-N oxidation	mg/mg	NutCHRout	3.5	0	AC	4	3	Y
Nutrient	ai6	Rate of oxygen uptake per unit NO2-N oxidation	mg/mg	NutCHRout	1.07	1	RC	1.14	1	Y
Nutrient	bc1	Rate constant for biological oxidation of NH4 to NO2 in the reach at 20 deg C	1/day	NutCHRout	0.55	1	RC	1	0.1	Y
Nutrient	bc2	Rate constant for biological oxidation of NO2 to NO3 in the reach at 20 deg C	1/day	NutCHRout	1.1	1	RC	2	0.2	Y
Nutrient	bc3	Rate constant for hydrolysis of organic N to NH4 in the reach at 20 deg C	1/day	NutCHRout	0.21	1	RC	0.4	0.2	Y
Nutrient	bc4	Rate constant for mineralization of organic P to dissolved P in the reach at 20 deg C	1/day	NutCHRout	0.35	1	RC	0.7	0.01	Y
Nutrient	ch_onco	Channel organic nitrogen concentration in basin	mg/kg	NUTR_QUAL2E	0	0	AC	100	0	Y
Nutrient	ch_opco	Channel organic phosphorus concentration in basin	mg/kg	NUTR_QUAL2E	0	0	AC	100	0	Y
Nutrient	cod_k	Reaction coefficient	None	NUTRMV	0.7	0	AC	0.7	0.1	Y
Nutrient	cod_n	COD conversion factor	None	NUTRMV	6.5	-5.5	AC	6.5	1	Y
Nutrient	ConRainAmm	Concentration of ammonia in rainfall	mg N/L	ATMDEP	0	0	AC	15	0	Y
Nutrient	ConRainNitra	concentration of nitrate in the rain	mg N/L	ATMDEP	0	0	AC	15	0	Y
Nutrient	drydep_nh4	Atmospheric dry deposition of ammonium	kg/ha/yr	ATMDEP	1	1	RC	1	0	Y
Nutrient	drydep_no3	Atmospheric dry deposition of nitrates	kg/ha/yr	ATMDEP	5	1	RC	7	0	Y
Nutrient	igropt	Qual2E algae growth limiting option	none	NutCHRout	2	0	AC	3	1	Y
Nutrient	InitConc_NH4	Initial average concentration of NH4 in the soil	kg/kg	All	0.001	1	RC	0.001	1e-005.0	Y
Nutrient	InitConc_NO3	Initial average concentration of NO3 in the soil	kg/kg	All	0.001	1	RC	0.001	1e-005.0	Y
Nutrient	InitConc_P	Initial average concentration of P in the soil	kg/kg	All	0.001	1	RC	0.001	1e-005.0	Y
Nutrient	isep_opt	initial septic operational condition	none	NutrMV	0	0	AC	2	0	Y
Nutrient	kn_paddy	nitrification rate constant in impounded water body	/day	IMP_SWAT	0.5	0	AC	2	0.02	Y
Nutrient	kv_paddy	volatilization rate constant in impounded water body	/day	IMP_SWAT	0.4	0	AC	0.8	0.043	Y
Nutrient	lambda0	Non-algal portion of hte light extinction coefficient	1/m	NutCHRout	1	0	AC	10	0	Y
Nutrient	lambda1	Linear algal self-shading coefficient	(1/m)1/(ug chla/L)	NutCHRout	0.03	1	RC	0.065	0.0065	Y
Nutrient	lambda2	Nonlinear alga self-shading coefficient	(1/m)(ug chla/L)^(-2/3)	NutCHRout	0.0541	1	RC	1	0	Y
Nutrient	mumax	Maximum specific algal growth rate at 20 deg C	1/day	NutCHRout	2	1	RC	3	1	Y
Nutrient	nactfr	nitrogen active pool fraction	none	NMINRL	0.02	1	RC	1	0	Y
Nutrient	p_n	Algal preference factor for ammonia	mg/L	NutCHRout	0.5	1	RC	1	0	Y
Nutrient	psp	nitrogen active pool fraction	none	NMINRL	0.02	1	RC	1	0	Y
Nutrient	rca	Atmospheric deposition of ammonium	mg/L	ATMDEP	2	1	RC	2	0	Y
Nutrient	rcn	Atmospheric deposition of nitrate	mg/L	ATMDEP	1	0.1	RC	1	0	Y
Nutrient	rhoq	Algal respiration rate at 20 deg C	1/day	NutCHRout	0.3	1	RC	0.05	0.5	Y
Nutrient	rk1	Carbonaceous biological oxygen demand deoxygenation rate coefficient in the reach at 20 deg C	1/day	NutCHRout	1.71	1	RC	3.4	0.02	Y
Nutrient	rk2	Oxygen reaeration rate in accordance with Fickian diffusion in the reach at 20 deg C	1/day	NutCHRout	50	0	AC	100	0	Y
Nutrient	rk3	Rate of loss of carbonaceous biological oxygen demand due to settling in the reach at 20 deg C	1/day	NutCHRout	0.36	1	RC	0.36	-0.36	Y
Nutrient	rk4	Benthic oxygen demand rate in the reach at 20 deg C	(m**2)*day)	NutCHRout	2	1	RC	100	0	Y
Nutrient	rnum1	Fraction of overland flow	none	NutCHRout	0.05	1	RC	1	0	Y
Nutrient	rs1	Ldeg Cal algal settling rate in the reach at 20 deg C	m/day	NutCHRout	1	1	RC	1.82	0.15	Y
Nutrient	rs2	Benthic (sediment) source rate for dissolved phosphorus in the reach at 20 deg C	mg disP-P)/((m**2)*day	NutCHRout	0.05	1	RC	0.1	0.001	Y
Nutrient	rs3	Benthic source rate for NH4-N in the reach at 20 deg C	mg NH4-N)/((m**2)*day	NutCHRout	0.5	1	RC	1	0	Y
Nutrient	rs4	Rate coefficient for organic N settling in the reach at 20 deg C	1/day	NutCHRout	0.05	1	RC	0.1	0.001	Y
Nutrient	rs5	Organic phosphorus settling rate in the reach at 20 deg C	1/day	NutCHRout	0.05	1	RC	0.1	0.001	Y
Nutrient	sdnco	denitrification threshold: fraction of field capacity	none	NMINRL	1.02	1	RC	1	0	Y
Nutrient	tfact	Fraction of solar radiation that is photosynthetically active	none	NutCHRout	0.3	1	RC	1	0	Y
PlantGrowth	cswat	carbon modeling method	None	MGT_SWAT	0	0	AC	2	0	Y
PlantGrowth	dormhr	time threshold used to define dormant period for plant	hr	BIO_EPIC	0	1	AC	24	0	Y
PlantGrowth	epco	plant water uptake compensation factor	None	BIO_EPIC	1	1	RC	1	0.01	Y
PlantGrowth	nfixco	Nitrogen fixation coefficient	None	BIO_EPIC	0.5	1	RC	1	0	Y
PlantGrowth	nfixmx	Maximum daily-n fixation (kg/ha)	kg/ha	BIO_EPIC	20	1	RC	20	1	Y
Pothole	evlai	leaf area index at which no evaporation occurs from water surface	m2/m2	IMP_SWAT	3	1	AC	10	0	Y
Pothole	evpot	Pothole evaporation coefficient	None	IMP_SWAT	0.5	0	AC	2	0	Y
Pothole	pot_no3l	Nitrate decay rate in impounded water body	1/day	IMP_SWAT	0	0	AC	1	0	Y
Pothole	pot_solpl	Soluble phosphorus decay rate in impounded water body	1/day	IMP_SWAT	0	0	AC	1	0	Y
Pothole	pot_tile	Average daily outflow to main channel from tile flow if drainage tiles are installed in the pothole.	mm	IMP_SWAT	0	0	AC	100	0	Y
Rice	tbd	Base temperature for development?	deg C	RiceGrow	8	0	AC	10	0	Y
Rice	tod	Optimum temperature for development	deg C	RiceGrow	42	0	AC	45	35	Y
Rice	tmd	Maximum temperature for development	deg C	RiceGrow	30	0	AC	35	25	Y
Rice	dvrj	Development rate during juvenile phase	deg C/d	RiceGrow	0.000773	0	AC	0.01	0	Y
Rice	dvri	Development rate during photoperiod-sensitive phase	deg C/d	RiceGrow	0.000758	0	AC	0.01	0	Y
Rice	dvrp	Development rate during panicle development phase	deg C/d	RiceGrow	0.001744	0	AC	0.01	0	Y
Rice	dvrr	Development rate in reproductive phase (post anthesis)	deg C/d	RiceGrow	0.001566	0	AC	0.01	0	Y
Rice	ppse	Photoperiod sensitivity	1/h	RiceGrow	0	0	AC	10	0	Y
Rice	mopp	Maximum optimum photoperiod	hr	RiceGrow	11.5	0	AC	20	0	Y
Rice	shckd	Relation between seedling age and delay in phenological development	none	RiceGrow	0.4	0	AC	1	0	Y
Rice	knf	extinction coefficient of N profile in the canopy as a function of development stage	none	RiceGrow	0.4	0	AC	1	0	Y
Rice	rgrlMX	Minimum relative growth rate of leaf area	deg C/d	RiceGrow	0.0085	0	AC	0.01	0	Y
Rice	rgrlMN	Minimum relative growth rate of leaf area	deg C/d	RiceGrow	0.004	0	AC	0.01	0	Y
Rice	nh	Number of hills	hill/m2	RiceGrow	45	0	AC	100	0	Y
Rice	nplh	Number of plants per hill	pl/hill	RiceGrow	4	0	AC	100	0	Y
Rice	nplsb	Number of plants in seedbed	pl/m2	RiceGrow	1000	0	AC	2000	0	Y
Rice	lape	Leaf area per plant at emergence	m2/pl	RiceGrow	0.0001	0	AC	0.0005	0	Y
Rice	zrttr	Root length/depth at transplanting	m	RiceGrow	0.05	0	AC	0.1	0.01	Y
Rice	tmpsb	Temperature increase caused by greenhouse use (over seedbed)	deg C	RiceGrow	0	0	AC	9.5	0	Y
Rice	aFsh	function parameters of fraction total dry matter partitioned to the shoot according to DVS	none	RiceGrow	0.5	0	AC	0.8	0.2	Y
Rice	bFsh	function parameters of fraction total dry matter partitioned to the shoot according to DVS	none	RiceGrow	0.5	0	AC	0.8	0.2	Y
Rice	aFlv	function parameters of fraction shoot dry matter partitioned to the leaves according to DVS	none	RiceGrow	0.6	0	AC	0.8	0.2	Y
Rice	bFlv	function parameters of fraction shoot dry matter partitioned to the leaves according to DVS	none	RiceGrow	1.2	0	AC	1.5	1	Y
Rice	aFso	function parameters of fraction shoot dry matter partitioned to the panicles according to DVS	none	RiceGrow	0.6	0	AC	0.8	0.2	Y
Rice	bFso	function parameters of fraction shoot dry matter partitioned to the panicles according to DVS	none	RiceGrow	2	0	AC	5	0	Y
Rice	aDrlv	function parameters of leaf death coefficient according to DVS	none	RiceGrow	0.015	0	AC	0.1	0.01	Y
Rice	bDrlv	function parameters of leaf death coefficient according to DVS	none	RiceGrow	0.016	0	AC	0.1	0.01	Y
Rice	tclstr	Time coefficient for loss of stem reserves	1/day	RiceGrow	10	0	AC	20	0	Y
Rice	q10	Factor accounting for increase in maintenance respiration with a 10 oC rise in temperature	none	RiceGrow	2	0	AC	5	0	Y
Rice	tref	Reference temperature	deg C	RiceGrow	25	0	AC	40	0	Y
Rice	mainLV	Maintenance respiration coefficient:Leaves	kg/kg/d	RiceGrow	0.02	0	AC	0.1	0	Y
Rice	mainST	Maintenance respiration coefficient:Stems	kg/kg/d	RiceGrow	0.015	0	AC	0.1	0	Y
Rice	mainSO	Maintenance respiration coefficient:Storage organs (panicles)	kg/kg/d	RiceGrow	0.003	0	AC	0.1	0	Y
Rice	mainRT	Maintenance respiration coefficient:Roots	kg/kg/d	RiceGrow	0.01	0	AC	0.1	0	Y
Rice	crgLV	Carbohydrate requirement for dry matter production:Leaves	kg/kg	RiceGrow	1.326	0	AC	2	0	Y
Rice	crgST	Carbohydrate requirement for dry matter production:Stems	kg/kg	RiceGrow	1.326	0	AC	2	0	Y
Rice	crgSTR	Carbohydrate requirement for dry matter production:Stem reserves	kg/kg	RiceGrow	1.11	0	AC	2	0	Y
Rice	crgSO	Carbohydrate requirement for dry matter production:Storage organs (panicles)	kg/kg	RiceGrow	1.426	0	AC	2	0	Y
Rice	crgRT	Carbohydrate requirement for dry matter production:Roots	kg/kg	RiceGrow	1.326	0	AC	2	0	Y
Rice	fstr	Fraction of carbohydrates allocated to stems that is stored as reserves	none	RiceGrow	0.2	0	AC	1	0	Y
Rice	lrstr	Fraction of allocated stem reserves that is available for growth	none	RiceGrow	0.947	0	AC	1	0	Y
Rice	aSLA	SLA function parameters	none	RiceGrow	0.0024	0	AC	0.1	0	Y
Rice	bSLA	SLA function parameters	none	RiceGrow	0.0025	0	AC	0.1	0	Y
Rice	cSLA	SLA function parameters	none	RiceGrow	-4.5	0	AC	-10	0	Y
Rice	dSLA	SLA function parameters	none	RiceGrow	0.14	0	AC	1	0	Y
Rice	slaMX	maximum value of SLA	ha/kg	RiceGrow	0.0045	0	AC	0.1	0	Y
Rice	fcRT	Carbon balance parameters, Mass fraction carbon:Roots	kg/kg	RiceGrow	0.431	0	AC	1	0	Y
Rice	fcLV	Carbon balance parameters, Mass fraction carbon:Leaves	kg/kg	RiceGrow	0.419	0	AC	1	0	Y
Rice	fcST	Carbon balance parameters, Mass fraction carbon:Stems	kg/kg	RiceGrow	0.431	0	AC	1	0	Y
Rice	fcSTR	Carbon balance parameters, Mass fraction carbon:Stem reserves	kg/kg	RiceGrow	0.444	0	AC	1	0	Y
Rice	fcSO	Carbon balance parameters, Mass fraction carbon:Storage organs (panicles)	kg/kg	RiceGrow	0.487	0	AC	1	0	Y
Rice	wgrMX	Maximum individual grain weight	kg/grain	RiceGrow	2.49E-05	0	AC	0.001	0	Y
Rice	gzrt	Growth rate of roots	m/d	RiceGrow	0.01	0	AC	0.1	0	Y
Rice	zrtMCD	Maximum depth of roots if drought	m	RiceGrow	0.4	0	AC	1	0	Y
Rice	frpar	fraction of sunlight energy that is photosynthetically active	none	RiceGrow	0.5	0	AC	1	0	Y
Rice	spgf	Spikelet growth factor	none	RiceGrow	64900	0	AC	100000	60000	Y
Rice	nMaxL	function parameters of maximum leaf N fraction	none	RiceGrow	0.02	0	AC	1	0	Y
Rice	nMinL	function parameters of minimum leaf N fraction	none	RiceGrow	0.009	0	AC	1	0	Y
Rice	rfnlv	Residual N fraction of leaves	kg/kg	RiceGrow	0.004	0	AC	1	0	Y
Rice	rfnst	Residual N fraction of stems	kg/kg	RiceGrow	0.0015	0	AC	1	0	Y
Rice	fntrt	Fraction N translocation from roots as (additonal) fraction of total N translocation from stems and leaves	none	RiceGrow	0.15	0	AC	1	0	Y
Rice	tcntrf	Time coefficient for N translocation to grains	day	RiceGrow	10	0	AC	20	0	Y
Rice	nMaxSO	Maximum N concentration in storage organs	kg/kg	RiceGrow	0.0175	0	AC	1	0	Y
Rice	anMinSO	function parameters of minimum N concentration in storage organs	none	RiceGrow	0.0001	0	AC	1	0	Y
Rice	bnMinSO	function parameters of minimum N concentration in storage organs	none	RiceGrow	2e-005.0	0	AC	1	0	Y
Rice	shckl	Relation between seedling age and delay in leaf area development	none	RiceGrow	0.25	0	AC	1	0	Y
Rice	sbdur	Duration of seedbed	day	RiceGrow	22	0	AC	50	5	Y
Rice	llls	Upper limit leaf rolling	kPa	RiceGrow	794.33	0	AC	1000	500	Y
Rice	ulls	Lower limit leaf rolling	kPa	RiceGrow	74.13	0	AC	100	50	Y
Rice	llle	Lower limit leaf expansion	kPa	RiceGrow	1404	0	AC	1500	1000	Y
Rice	ulle	Upper limit leaf expansion	kPa	RiceGrow	1.45	0	AC	2	1	Y
Rice	lldl	Lower limit death of leaves	kPa	RiceGrow	1584.89	0	AC	2000	1000	Y
Rice	uldl	Upper limit death of leaves	kPa	RiceGrow	630.95	0	AC	1000	500	Y
Sediment	USLE_LS_COEF	the LS coefficient	none	ALL	1	1.2	AC	10	0	Y
Sediment	USLE_C	the cover management factor	none	ALL	-9999	1	RC	1	0	Y
Sediment	USLE_K	the soil erodibility factor	none	ALL	-9999	0.1	RC	1	0	Y
Sediment	USLE_P	the erosion control practice factor	none	ALL	-9999	0.5	RC	1	0	Y
Sediment	vcrit	critical veldeg Ctiy for sediment deposition	m/s	ChannelRouting	0.01	0	AC	1	0	Y
Sediment	sed_chi	Initial channel sediment concentration	ton/m^3	ChannelRouting	0.01	0	AC	0.848	0	Y
Sediment	adj_pkr	peak rate adjustment factor	none	MUSLE_I30	1	0	AC	1	0.1	Y
Sediment	ccoe	calibration coefficient of overland flow detachment erosion	none	KinWavSed_OL	0.05	1	RC	100	0.001	Y
Sediment	ChDetCo	calibration coefficient of channel flow detachment	none	KinWavSed_CH	0.001	1	RC	1	0.0001	Y
Sediment	ChTcCo	calibration coefficient of transport capacity calculation	none	KinWavSed_CH	0.8	1	RC	100000	0.001	Y
Sediment	decay	dacay constant	1/day	ChannelRouting	0	0	NC	1	0	Y
Sediment	depRatio	deposition ratio	None	MUSLE_AS	0.8	1	RC	1	0	Y
Sediment	downcut	 whether do the channel downcutting and widening	none	ChannelRouting	1	0	NC	1	0	Y
Sediment	eco1	calibration coefficient-1 of transport capacity calculation	none	KinWavSed_OL	146	1	RC	1000	0.001	Y
Sediment	eco2	calibration coefficient-2 of transport capacity calculation	none	KinWavSed_OL	146	1	RC	1000	0.001	Y
Sediment	flow_acc	the number of flow accumulation cells of each cell	none	ALL	-9999	0	NC	-9999	-9999	Y
Sediment	Omega	calibration coefficient of splash detachment erosion	none	SplashEro_Park	0.02	1	RC	10	0.0001	Y
Sediment	rain_yrs	number of yeares of data used to obtain values for RAINHHMX	none	MUSLE_I30	10	0	AC	10	5	Y
Sediment	RandRough	The random roughness	cm	SplashEro_KinEen	-9999	0	NC	20	0.05	Y
Sediment	rsd_covco	residue cover factor for computing fraction of cover	none	MUSLEC_LAI	0.3	0	AC	0.5	0.1	Y
Sediment	Spl_delratio	Splash delivery ratio	none	SplashEro_KinEen	0.1	1	RC	1	0	Y
Sediment	T0_s	time of concentration	hr	ALL	-9999	0	NC	-9999	-9999	Y
Sediment	vcd	channel degredation code	None	SEDR	0	0	AC	1	0	Y
Snow	c_rain	Rainfall impact factor	mm/mm/deg C/delta_t	SNO_DD	0.04	0	AC	1	0	Y
Snow	c_snow	temperature impact factor	mm/deg C/delta_t	SNO_DD	3	0	AC	6	0	Y
Snow	c_snow12	Melt factor on December 21	mm/deg C/day	SNO_SP	6.5	0	AC	9	6	Y
Snow	c_snow6	Melt factor on June 21	mm/deg C/day	SNO_SP	2.5	0	AC	4	1	Y
Snow	curva_wind	Curvature along wind direction	%	SRD_MB	-9999	0	NC	-9999	-9999	Y
Snow	D_snow	Snow redistribution coefficient	none	SNO_DD	-9999	1	RC	1.5	0.5	Y
Snow	k_blow	fraction of precipitation as snow	None	SNO_SP	1	1	RC	1	0	Y
Snow	k_curvature	Curvature coefficient in wind direction	none	SRD_MB	145	0	AC	500	0	Y
Snow	K_rain	Rainfall impact factor	mm/mm/deg C/day	SNO_DD	0	0	AC	1	0	Y
Snow	k_slope	Slope coefficient in wind direction	none	SRD_MB	60	0	AC	100	0	Y
Snow	K_snow	Degree day coefficient	mm/deg C/day	SNO_DD	2	0	AC	5	0.5	Y
Snow	k_subli	Praction of PET for sublimation	none	SSM_PE	1	0	AC	5	0	Y
Snow	lag_snow	Snow temperature lag factor	none	SNO_SP	0.8	0	AC	1	0	Y
Snow	shc	Snow holding capacity	m	SRD_MB	-9999	1	RC	3	0.5	Y
Snow	shc_crop	snow holding capacity of cropland	mm	SRD_MB	50	0	NC	0.1	0	Y
Snow	slope_wind	Slope along wind direction	%	SRD_MB	-9999	0	NC	0	0	Y
Snow	SNO50COV	Fraction of snow water equivalent that corresponds to 50% snow cover.	None	SNO_SP	0.5	1	RC	1	0	Y
Snow	SNOCOVMX	Minimum snow water content that corresponds to 100% snow cover.	mm	SNO_SP	1	0	AC	500	0	Y
Snow	subbasin	subbasin identity	none	ALL	-9999	0	NC	100	0	Y
Snow	swe0	Initial snow water equivalent	mm	ALL	10	0	AC	300	0	Y
Snow	T_snow	Snowfall temperature	deg C	ALL	0	0	AC	2	-2	Y
Snow	T_wind	temperature at which wind transport of snow is most favorable	deg C	SRD_MB	-27.27	0	NC	-20	-35	Y
Snow	T0	Snowmelt temperature	deg C	ALL	1	0	AC	3	-1	Y
Snow	U0	Wind speed over Ut at which WWi=1	m/s	SRD_MB	10	0	AC	1	0.2	Y
Snow	Ut0	Threshold wind speed at -27 degree	m/s	SRD_MB	6.98	0	AC	10	4	Y
